ASIN,product_name,brand,FBA_label,amazon_choice,price_in_US_dollars,unit_price_flag,unit_price_USdollars,unit_price_unit,top_sales_rank,subscribe_flag,shipping_weight_in_ounces,answered_questions,rating_avg,rating_nums,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,subscribe_5_unitprice,subscribe_5_unit,subscribe_15_unitprice,subscribe_15_unit
B000VK7UZW,"Mount Hagen Organic Freeze Dried Instant Ground Coffee, 3.53 oz",Mount Hagen,Amazon product,False,11.81,True,3.35,Ounce,83.0,False,11.2,0,4.5,87.0,0.03,0.04,0.06,0.12,0.75,,,,
B000W522KO,The Only One Instant Ganoderma Coffee,The Only One,Third Party,False,17.95,False,,,1224.0,False,16.0,0,3.6,17.0,0.14,0.13,0.17,0.14,0.42,,,,
B000W5BS9K,Nescafé 3 in 1 Instant Coffee Sticks ORIGINAL - Best Asian Coffee Imported from Nestle Malaysia (28 Sticks),Nescafé,FBA,True,11.84,True,0.6,Ounce,84.0,False,20.8,36,4.2,706.0,0.11,0.03,0.1,0.11,0.65,,,,
B000W7PUMY,"Maxwell House Original Medium Roast Instant Coffee (2 oz Jars, Pack of 12)",MAXWELL HOUSE,Amazon product,False,32.16,True,1.34,Ounce,1232.0,True,84.8,0,4.0,4.0,0.25,0.0,0.0,0.0,0.75,1.27, Ounce,1.14, Ounce
B000WE5DPQ,"Big Train Blended Ice Coffee Iced Coffee Mix Vanilla Latte 3lb Bulk Bag - Single Bag, Packing may vary",Big Train,FBA,True,23.94,True,0.5,Ounce,465.0,True,57.6,8,4.6,74.0,0.04,0.03,0.03,0.13,0.78,0.5, Ounce,0.47, Ounce
B000XSIAEW,"Tchibo Exclusive Instant Coffee, 3.5 oz (100g) Jar",Tchibo,Third Party,False,14.98,True,14.98,Item,3186.0,False,32.0,0,,,0.0,0.0,0.0,0.0,0.0,,,,
B000YDB354,Kenco Smooth Coffee Blend 200g -Fast,Kenco,Third Party,False,43.0,True,43.0,Count,4643.0,False,22.4,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,
B000YDGSKY,Kenco Rich Coffee Blend 200g,Nestl?,FBA,False,18.02,True,18.02,Count,1332.0,False,22.4,0,5.0,4.0,0.0,0.0,0.0,0.0,1.0,,,,
B000YVM5DA,"Nescafé Coffee, French Vanilla Cappuccino Mix, 32-Ounce Bags (Pack of 6)",Nescafé,Third Party,False,58.8,True,0.31,Ounce,1393.0,False,211.2,0,4.4,6.0,0.0,0.0,0.0,0.6,0.4,,,,
B000ZTCYDM,Fireside Coffee Instant Cafe Mocha (Caramel Mochaccino) (8 ounce),Fireside,FBA,False,14.49,True,14.49,Item,1653.0,False,9.6,0,4.2,16.0,0.0,0.09,0.1,0.33,0.47,,,,
B00113B0HW,"Cafe Altura Organic Coffee, Italian Style, Whole Bean, 1.25 lb",Cafe Altura,,False,20.19,False,,,1989.0,False,20.8,0,3.9,10.0,0.0,0.33,0.0,0.12,0.55,,,,
B0013BHG84,Davidoff Café Rich Aroma Instant Coffee 3.5oz/100g,Davidoff,FBA,False,10.88,True,3.11,Ounce,477.0,False,16.0,0,4.5,437.0,0.04,0.01,0.03,0.21,0.71,,,,
B0013DI2K8,Kenco Really Rich Freeze Drd Coffee 750G,KENCO,Third Party,False,87.61,False,,,,False,,0,4.1,15.0,0.2,0.0,0.0,0.11,0.68,,,,
B0013G6G4E,Clipper Organic Freeze Dried Coffee 100g,Clipper,Third Party,False,15.07,True,4.31,Ounce,1090.0,False,11.4,0,3.9,12.0,0.1,0.2,0.0,0.09,0.61,,,,
B0013GALGI,Symingtons Instant Dandelion Coffee 300g,Symingtons,FBA,False,21.1,True,2.01,Ounce,808.0,False,11.4,0,3.2,40.0,0.25,0.13,0.1,0.24,0.28,,,,
B0014CTZFO,"Nescafe Tasters Choice 100% Columbian Instant Coffee, 20 pk, .07 oz",Nescafé,Third Party,False,17.65,True,12.61,Ounce,1639.0,False,2.4,0,4.3,42.0,0.08,0.0,0.0,0.33,0.59,,,,
B0014CTZI6,"Nescafe Taster's Choice Decaf House Blend Instant Coffee, 7 oz",Nescafe Taster's Choice,FBA,False,15.0,True,2.14,Ounce,116.0,False,22.4,4,4.4,65.0,0.1,0.02,0.03,0.08,0.78,,,,
B0014CVF98,"Folgers Classic Roast, Instant Coffee Crystals, 8 oz",Folgers,Amazon product,False,4.94,True,0.62,Ounce,52.0,True,10.4,4,4.6,314.0,0.03,0.01,0.06,0.13,0.77,0.59, Ounce,0.53, Ounce
B0014CVFAC,"Folgers Classic Decaf Decaffeinated Instant Coffee Crystals, 8 Ounces",Folgers,Amazon product,True,6.14,False,,,,False,,0,4.7,208.0,0.03,0.02,0.02,0.12,0.81,,,,
B0014D17WM,NESCAFE TASTER'S CHOICE House Blend Medium Light Roast Instant Coffee 7 oz. Jar,Nescafé,,False,20.0,False,,,1688.0,False,9.6,0,4.4,10.0,0.0,0.0,0.09,0.42,0.49,,,,
B001535JSY,Gold Choice Instant Tongkat Ali Ginseng Coffee,Gold Choice,FBA,True,11.38,True,0.81,Ounce,281.0,False,15.2,8,4.5,103.0,0.02,0.05,0.09,0.13,0.71,,,,
B00153G6XQ,Gold Choice Instant White Coffee Cappuccino Premix,AUBESTKER,Third Party,False,19.99,True,19.99,Count,4208.0,False,,0,4.5,3.0,0.0,0.0,0.0,0.53,0.47,,,,
B0015S39F4,Nescafe Frappe Instant Coffee,Nescafé,Third Party,False,18.99,True,18.99,Count,878.0,False,10.6,0,3.1,16.0,0.2,0.24,0.12,0.18,0.27,,,,
B00164UZ4A,"General Foods Italian Cappuccino Instant Coffee Mix (2lb Bags, Pack of 6)",General Foods International Coffee,Amazon product,False,49.9,True,0.26,Ounce,869.0,True,209.6,0,3.5,26.0,0.13,0.17,0.2,0.09,0.4,0.25, Ounce,0.22, Ounce
B00164V1DE,"Maxwell House Medium Roast Ground Coffee (0.7 oz Bags, Pack of 42)",MAXWELL HOUSE,Amazon product,False,42.57,True,0.51,Ounce,999.0,True,97.6,3,2.5,3.0,0.32,0.41,0.0,0.0,0.27,0.48, Ounce,0.43, Ounce
B00164X47U,"General Foods English Toffee Instant Coffee Mix (2 lbs Bags, Pack of 6)",General Foods International Coffee,Third Party,False,81.75,True,0.43,Ounce,1518.0,False,272.0,0,4.3,7.0,0.11,0.0,0.0,0.29,0.6,,,,
B00164X49I,"General Foods Suisse Mocha Instant Coffee Mix (2lb Bags, Pack of 6)",General Foods International Coffee,Amazon product,False,50.46,True,0.26,Ounce,1475.0,True,206.4,0,4.2,13.0,0.2,0.0,0.0,0.0,0.8,0.25, Ounce,0.22, Ounce
B00164X7AY,"Maxwell House Special Delivery Medium Roast Ground Coffee (1.4 oz Bags, Pack of 42)",MAXWELL HOUSE,Amazon product,False,38.92,True,0.66,Ounce,356.0,True,76.8,0,4.5,5.0,0.0,0.0,0.23,0.0,0.77,0.63, Ounce,0.56, Ounce
B00164X7CW,"Maxwell House Medium Roast Ground Coffee (1.5 oz Bags, Pack of 42)",MAXWELL HOUSE,Amazon product,False,32.64,True,0.52,Ounce,616.0,True,76.8,0,3.8,10.0,0.28,0.0,0.0,0.12,0.61,0.49, Ounce,0.44, Ounce
B00164X7JA,"Maxwell House Medium Roast Ground Coffee (1.75 oz Bags, Pack of 42)",MAXWELL HOUSE,Amazon product,False,39.45,True,0.54,Ounce,315.0,True,86.4,0,3.9,8.0,0.23,0.0,0.09,0.0,0.68,0.51, Ounce,0.46, Ounce
B001650ZP8,"Maxwell House Special Delivery Decaf Medium Roast Ground Coffee (1.5 oz Bags, Pack of 42)",MAXWELL HOUSE,Amazon product,False,27.68,True,0.44,Ounce,1229.0,True,80.0,0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.42, Ounce,0.37, Ounce
B00165103Y,"Maxwell House Special Delivery Medium Roast (1.4 oz Packets, Pack of 112)",MAXWELL HOUSE,,False,131.0,False,,,1350.0,False,201.6,0,3.4,8.0,0.39,0.0,0.0,0.0,0.61,,,,
B001652JCU,"General Foods Hazelnut Belgian Instant Coffee Mix (2lb Bags, Pack of 6)",General Foods International Coffee,Amazon product,False,50.15,True,0.26,Ounce,1108.0,True,208.0,0,3.9,110.0,0.13,0.1,0.09,0.09,0.59,0.25, Ounce,0.22, Ounce
B001652MQ8,"Maxwell House Decaf Medium Roast Ground Coffee (1.25 oz Bags, Pack of 12)",MAXWELL HOUSE,Amazon product,False,43.16,True,0.27,Ounce,3429.0,True,193.6,0,,,0.0,0.0,0.0,0.0,0.0,0.26, Ounce,0.23, Ounce
